;Part;Value;Device;Package;Description;MF;MPN;OC_FARNELL;OC_NEWARK;PROD_ID
X;R1;0R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;
X;R2;0R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;
X;R16;0R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;
X;C41;1000u;CPOL-EUE5-10.5;E5-10,5;POLARIZED CAPACITOR, European symbol;;;;;
vorhanden;C1;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C3;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C5;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C11;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C12;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C13;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C18;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C19;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C20;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C21;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C22;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C23;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C24;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C25;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C39;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C40;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C42;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;C43;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
vorhanden;R15;10k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;
vorhanden;R1;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;
vorhanden;R2;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;
vorhanden;R3;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;
vorhanden;R4;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;
vorhanden;R5;10k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;
X;C30;10n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
X;C2;10u;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
X;C4;10u;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
X;C6;10u;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
X;C34;10u;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;
X;C35;10u;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;
X;C36;10u;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;
X;C44;1n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
X;C7;1u;CPOL-EUE2-5;E2-5;POLARIZED CAPACITOR, European symbol;;;;;
X;C8;1u;CPOL-EUE2-5;E2-5;POLARIZED CAPACITOR, European symbol;;;;;
X;C33;1u;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;
X;C37;1u;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;
X;C38;1u;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;
X;L2;1uH;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;
